line_id,species,wavelength_air_A,band,holding_id,instrument_id,coverage,telluric_applied_registry,normalization_state_registry,observed_conditioning,depth,blend_disposition,route,eligibility,reason,ew_mA,evidence
gf_117817,Si I,6626.108,VIS,solar_harps_molecfit_corrected,harps,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117817,Si I,6626.108,VIS,solar_kpno_molecfit_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117817,Si I,6626.108,VIS,solar_delbouille_liege,delbouille_liege_intensity,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117817,Si I,6626.108,VIS,solar_iag_reiners2016,iag_fts_solar_atlas,outside_declared_span,applied,,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117817,Si I,6626.108,VIS,solar_crires_plus_y_wide_rya1054,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117817,Si I,6626.108,VIS,solar_crires_plus_h_rya1094,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117818,Si I,6630.662,VIS,solar_harps,harps,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117818,Si I,6630.662,VIS,solar_kpno,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117818,Si I,6630.662,VIS,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117818,Si I,6630.662,VIS,solar_iag,iag_fts_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117818,Si I,6630.662,VIS,elgueta2026_vizier,crires_plus,HOLD_pixel_coverage_not_tested,applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117818,Si I,6630.662,VIS,solar_crires_plus_y_rya794,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117818,Si I,6630.662,VIS,solar_vesta_crires_plus_idp,crires_plus,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117818,Si I,6630.662,VIS,solar_harps_molecfit_corrected,harps,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117818,Si I,6630.662,VIS,solar_kpno_molecfit_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117818,Si I,6630.662,VIS,solar_delbouille_liege,delbouille_liege_intensity,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117818,Si I,6630.662,VIS,solar_iag_reiners2016,iag_fts_solar_atlas,outside_declared_span,applied,,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117818,Si I,6630.662,VIS,solar_crires_plus_y_wide_rya1054,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117818,Si I,6630.662,VIS,solar_crires_plus_h_rya1094,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117819,Si I,6631.048,VIS,solar_harps,harps,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117819,Si I,6631.048,VIS,solar_kpno,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117819,Si I,6631.048,VIS,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117819,Si I,6631.048,VIS,solar_iag,iag_fts_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117819,Si I,6631.048,VIS,elgueta2026_vizier,crires_plus,HOLD_pixel_coverage_not_tested,applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117819,Si I,6631.048,VIS,solar_crires_plus_y_rya794,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117819,Si I,6631.048,VIS,solar_vesta_crires_plus_idp,crires_plus,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117819,Si I,6631.048,VIS,solar_harps_molecfit_corrected,harps,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117819,Si I,6631.048,VIS,solar_kpno_molecfit_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117819,Si I,6631.048,VIS,solar_delbouille_liege,delbouille_liege_intensity,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117819,Si I,6631.048,VIS,solar_iag_reiners2016,iag_fts_solar_atlas,outside_declared_span,applied,,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117819,Si I,6631.048,VIS,solar_crires_plus_y_wide_rya1054,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117819,Si I,6631.048,VIS,solar_crires_plus_h_rya1094,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117820,Si I,6632.4,VIS,solar_harps,harps,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117820,Si I,6632.4,VIS,solar_kpno,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117820,Si I,6632.4,VIS,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117820,Si I,6632.4,VIS,solar_iag,iag_fts_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117820,Si I,6632.4,VIS,elgueta2026_vizier,crires_plus,HOLD_pixel_coverage_not_tested,applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117820,Si I,6632.4,VIS,solar_crires_plus_y_rya794,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117820,Si I,6632.4,VIS,solar_vesta_crires_plus_idp,crires_plus,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117820,Si I,6632.4,VIS,solar_harps_molecfit_corrected,harps,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117820,Si I,6632.4,VIS,solar_kpno_molecfit_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117820,Si I,6632.4,VIS,solar_delbouille_liege,delbouille_liege_intensity,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117820,Si I,6632.4,VIS,solar_iag_reiners2016,iag_fts_solar_atlas,outside_declared_span,applied,,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117820,Si I,6632.4,VIS,solar_crires_plus_y_wide_rya1054,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117820,Si I,6632.4,VIS,solar_crires_plus_h_rya1094,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117821,Si I,6634.099,VIS,solar_harps,harps,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117821,Si I,6634.099,VIS,solar_kpno,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117821,Si I,6634.099,VIS,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117821,Si I,6634.099,VIS,solar_iag,iag_fts_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117821,Si I,6634.099,VIS,elgueta2026_vizier,crires_plus,HOLD_pixel_coverage_not_tested,applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117821,Si I,6634.099,VIS,solar_crires_plus_y_rya794,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117821,Si I,6634.099,VIS,solar_vesta_crires_plus_idp,crires_plus,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117821,Si I,6634.099,VIS,solar_harps_molecfit_corrected,harps,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117821,Si I,6634.099,VIS,solar_kpno_molecfit_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117821,Si I,6634.099,VIS,solar_delbouille_liege,delbouille_liege_intensity,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117821,Si I,6634.099,VIS,solar_iag_reiners2016,iag_fts_solar_atlas,outside_declared_span,applied,,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117821,Si I,6634.099,VIS,solar_crires_plus_y_wide_rya1054,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117821,Si I,6634.099,VIS,solar_crires_plus_h_rya1094,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117822,Si I,6635.687,VIS,solar_harps,harps,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117822,Si I,6635.687,VIS,solar_kpno,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117822,Si I,6635.687,VIS,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117822,Si I,6635.687,VIS,solar_iag,iag_fts_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117822,Si I,6635.687,VIS,elgueta2026_vizier,crires_plus,HOLD_pixel_coverage_not_tested,applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117822,Si I,6635.687,VIS,solar_crires_plus_y_rya794,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117822,Si I,6635.687,VIS,solar_vesta_crires_plus_idp,crires_plus,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117822,Si I,6635.687,VIS,solar_harps_molecfit_corrected,harps,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117822,Si I,6635.687,VIS,solar_kpno_molecfit_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117822,Si I,6635.687,VIS,solar_delbouille_liege,delbouille_liege_intensity,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117822,Si I,6635.687,VIS,solar_iag_reiners2016,iag_fts_solar_atlas,outside_declared_span,applied,,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117822,Si I,6635.687,VIS,solar_crires_plus_y_wide_rya1054,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117822,Si I,6635.687,VIS,solar_crires_plus_h_rya1094,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117823,Si I,6639.342,VIS,solar_harps,harps,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117823,Si I,6639.342,VIS,solar_kpno,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117823,Si I,6639.342,VIS,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117823,Si I,6639.342,VIS,solar_iag,iag_fts_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
