species,wavelength_air_A,star,abundance_dex,used,source_table
Na,16373.87,2M06074096-0530332,0.13,True,table_na.dat
Na,16373.87,2M06124201-0025095,0.02,True,table_na.dat
Na,16373.87,2M06140107-0641072,0.12,True,table_na.dat
Na,16373.87,2M06143705-0551064,0.02,True,table_na.dat
Na,16373.87,2M06171159-7259319,-0.10,True,table_na.dat
Na,16373.87,2M06223443-0443153,0.12,True,table_na.dat
Na,16373.87,2M06231693-0530385,0.15,True,table_na.dat
Na,16373.87,2M06520463-0047080,0.15,True,table_na.dat
Na,16373.87,2M06551808-0148080,0.06,True,table_na.dat
Na,16373.87,2M06574070-1231239,0.16,True,table_na.dat
Na,16373.87,2M10430394-4605354,0.11,True,table_na.dat
Na,16373.87,2M11042542-7318068,,False,table_na.dat
Na,16373.87,2M12101600-4936072,-0.17,True,table_na.dat
Na,16373.87,2M13403516-5040261,,False,table_na.dat
Na,16373.87,2M14131192-4849280,0.13,True,table_na.dat
Na,16373.87,2M14240039-6252516,0.26,True,table_na.dat
Na,16373.87,2M14241044-6218367,0.18,True,table_na.dat
Na,16373.87,2M14260433-6219024,0.03,True,table_na.dat
Na,16373.87,2M14261117-6240220,0.11,True,table_na.dat
Na,16373.87,2M14275833-6147534,0.19,True,table_na.dat
Na,16373.87,2M14283733-6257279,0.14,True,table_na.dat
Na,16373.87,2M14291063-6317181,0.02,True,table_na.dat
Na,16373.87,2M14311520-6145468,0.15,True,table_na.dat
Na,16373.87,2M14322072-6215506,,False,table_na.dat
Na,16373.87,2M14332169-6302108,,False,table_na.dat
Na,16373.87,2M14332869-6211255,0.26,True,table_na.dat
Na,16373.87,2M14333081-6221450,0.08,True,table_na.dat
Na,16373.87,2M14333688-6232028,0.20,True,table_na.dat
Na,16373.87,2M14345114-6225509,0.24,True,table_na.dat
Na,16373.87,2M14360142-6228561,0.16,True,table_na.dat
Na,16373.87,2M14360935-6309399,0.33,True,table_na.dat
Na,16373.87,2M14371958-6251344,0.05,True,table_na.dat
Na,16373.87,2M14375085-6237526,0.18,True,table_na.dat
Na,16373.87,2M15161949+0244516,,False,table_na.dat
Na,16373.87,2M17584888-2351011,0.37,True,table_na.dat
Na,16373.87,2M18103303-1626220,0.31,True,table_na.dat
Na,16373.87,2M18142346-2136410,0.28,True,table_na.dat
Na,16373.87,2M18191551-1726223,0.21,True,table_na.dat
Na,16373.87,2M18522108-3022143,0.28,True,table_na.dat
Na,16373.87,HD132813,0.24,True,table_na.dat
Na,16373.87,HD175588,0.27,True,table_na.dat
Na,16373.87,HD89758,-0.01,True,table_na.dat
Na,16373.87,HD224935,0.12,True,table_na.dat
Na,16373.87,HD101153,0.13,True,table_na.dat
Na,16373.87,HIP54396,0.15,True,table_na.dat
Na,16388.85,2M05484106-0602007,0.01,True,table_na.dat
Na,16388.85,2M05594446-7212111,0.07,True,table_na.dat
Na,16388.85,2M06035110-7456029,0.16,True,table_na.dat
Na,16388.85,2M06035214-7255079,0.06,True,table_na.dat
Na,16388.85,2M06052796-0553384,-0.06,True,table_na.dat
Na,16388.85,2M06074096-0530332,0.15,True,table_na.dat
Na,16388.85,2M06124201-0025095,0.25,True,table_na.dat
Na,16388.85,2M06140107-0641072,0.31,True,table_na.dat
Na,16388.85,2M06143705-0551064,0.27,True,table_na.dat
Na,16388.85,2M06171159-7259319,0.22,True,table_na.dat
Na,16388.85,2M06223443-0443153,0.16,True,table_na.dat
Na,16388.85,2M06231693-0530385,0.13,True,table_na.dat
Na,16388.85,2M06520463-0047080,0.14,True,table_na.dat
Na,16388.85,2M06551808-0148080,0.06,True,table_na.dat
Na,16388.85,2M06574070-1231239,0.18,True,table_na.dat
Na,16388.85,2M10430394-4605354,0.09,True,table_na.dat
Na,16388.85,2M11042542-7318068,,False,table_na.dat
Na,16388.85,2M12101600-4936072,0.07,True,table_na.dat
Na,16388.85,2M13403516-5040261,0.00,True,table_na.dat
Na,16388.85,2M14131192-4849280,0.18,True,table_na.dat
Na,16388.85,2M14240039-6252516,0.26,True,table_na.dat
Na,16388.85,2M14241044-6218367,0.20,True,table_na.dat
Na,16388.85,2M14260433-6219024,0.17,True,table_na.dat
Na,16388.85,2M14261117-6240220,0.18,True,table_na.dat
Na,16388.85,2M14275833-6147534,0.19,True,table_na.dat
Na,16388.85,2M14283733-6257279,0.18,True,table_na.dat
Na,16388.85,2M14291063-6317181,,False,table_na.dat
Na,16388.85,2M14311520-6145468,0.19,True,table_na.dat
Na,16388.85,2M14322072-6215506,-0.03,True,table_na.dat
Na,16388.85,2M14332169-6302108,0.16,True,table_na.dat
Na,16388.85,2M14332869-6211255,0.33,True,table_na.dat
Na,16388.85,2M14333081-6221450,0.14,True,table_na.dat
