element,ion,wave_A,teff_K,logg,feh,delta_nlte
Ba,II,4554.029,4250,0.5,0.5,0.0167
Ba,II,5853.668,4250,0.5,0.5,0.04
Ba,II,6141.713,4250,0.5,0.5,0.0367
Ba,II,6496.897,4250,0.5,0.5,0.04
Ba,II,4554.029,4250,1.0,0.5,0.01
Ba,II,5853.668,4250,1.0,0.5,0.0333
Ba,II,6141.713,4250,1.0,0.5,0.02
Ba,II,6496.897,4250,1.0,0.5,0.0267
Ba,II,4554.029,4250,1.5,0.5,0.0067
Ba,II,5853.668,4250,1.5,0.5,0.02
Ba,II,6141.713,4250,1.5,0.5,0.0167
Ba,II,6496.897,4250,1.5,0.5,0.0167
Ba,II,4554.029,4250,2.0,0.5,0.0
Ba,II,5853.668,4250,2.0,0.5,0.0067
Ba,II,6141.713,4250,2.0,0.5,0.0067
Ba,II,6496.897,4250,2.0,0.5,-0.0033
Ba,II,4554.029,4250,2.5,0.5,0.0
Ba,II,5853.668,4250,2.5,0.5,-0.01
Ba,II,6141.713,4250,2.5,0.5,-0.0033
Ba,II,6496.897,4250,2.5,0.5,-0.0067
Ba,II,4554.029,4250,3.0,0.5,-0.0033
Ba,II,5853.668,4250,3.0,0.5,-0.02
Ba,II,6141.713,4250,3.0,0.5,-0.0067
Ba,II,6496.897,4250,3.0,0.5,-0.0167
Ba,II,4554.029,4250,3.5,0.5,0.0
Ba,II,5853.668,4250,3.5,0.5,-0.0133
Ba,II,6141.713,4250,3.5,0.5,-0.0133
Ba,II,6496.897,4250,3.5,0.5,-0.0233
Ba,II,4554.029,4250,4.0,0.5,-0.0033
Ba,II,5853.668,4250,4.0,0.5,-0.0167
Ba,II,6141.713,4250,4.0,0.5,-0.0133
Ba,II,6496.897,4250,4.0,0.5,-0.02
Ba,II,4554.029,4250,4.5,0.5,0.0
Ba,II,5853.668,4250,4.5,0.5,-0.01
Ba,II,6141.713,4250,4.5,0.5,-0.0133
Ba,II,6496.897,4250,4.5,0.5,-0.0133
Ba,II,4554.029,4250,5.0,0.5,-0.0033
Ba,II,5853.668,4250,5.0,0.5,-0.01
Ba,II,6141.713,4250,5.0,0.5,-0.01
Ba,II,6496.897,4250,5.0,0.5,-0.0133
Ba,II,4554.029,4500,0.0,0.5,0.0267
Ba,II,5853.668,4500,0.0,0.5,0.06
Ba,II,6141.713,4500,0.0,0.5,0.05
Ba,II,6496.897,4500,0.0,0.5,0.0567
Ba,II,4554.029,4500,0.5,0.5,0.0167
Ba,II,5853.668,4500,0.5,0.5,0.05
Ba,II,6141.713,4500,0.5,0.5,0.0367
Ba,II,6496.897,4500,0.5,0.5,0.04
Ba,II,4554.029,4500,1.0,0.5,0.01
Ba,II,5853.668,4500,1.0,0.5,0.04
Ba,II,6141.713,4500,1.0,0.5,0.0267
Ba,II,6496.897,4500,1.0,0.5,0.0267
Ba,II,4554.029,4500,1.5,0.5,0.0067
Ba,II,5853.668,4500,1.5,0.5,0.0233
Ba,II,6141.713,4500,1.5,0.5,0.0167
Ba,II,6496.897,4500,1.5,0.5,0.0167
Ba,II,4554.029,4500,2.0,0.5,0.0
Ba,II,5853.668,4500,2.0,0.5,0.01
Ba,II,6141.713,4500,2.0,0.5,0.0067
Ba,II,6496.897,4500,2.0,0.5,0.0067
Ba,II,4554.029,4500,2.5,0.5,0.0
Ba,II,5853.668,4500,2.5,0.5,-0.01
Ba,II,6141.713,4500,2.5,0.5,-0.0033
Ba,II,6496.897,4500,2.5,0.5,-0.01
Ba,II,4554.029,4500,3.0,0.5,0.0
Ba,II,5853.668,4500,3.0,0.5,-0.02
Ba,II,6141.713,4500,3.0,0.5,-0.0067
Ba,II,6496.897,4500,3.0,0.5,-0.0167
Ba,II,4554.029,4500,3.5,0.5,0.0
Ba,II,5853.668,4500,3.5,0.5,-0.02
Ba,II,6141.713,4500,3.5,0.5,-0.0133
Ba,II,6496.897,4500,3.5,0.5,-0.0167
Ba,II,4554.029,4500,4.0,0.5,-0.0033
Ba,II,5853.668,4500,4.0,0.5,-0.0167
Ba,II,6141.713,4500,4.0,0.5,-0.0133
Ba,II,6496.897,4500,4.0,0.5,-0.0167
Ba,II,4554.029,4500,4.5,0.5,-0.0033
Ba,II,5853.668,4500,4.5,0.5,-0.01
Ba,II,6141.713,4500,4.5,0.5,-0.01
Ba,II,6496.897,4500,4.5,0.5,-0.0133
Ba,II,4554.029,4500,5.0,0.5,0.0
Ba,II,5853.668,4500,5.0,0.5,-0.0033
Ba,II,6141.713,4500,5.0,0.5,-0.01
Ba,II,6496.897,4500,5.0,0.5,-0.0133
Ba,II,4554.029,4750,0.0,0.5,0.0267
Ba,II,5853.668,4750,0.0,0.5,0.05
Ba,II,6141.713,4750,0.0,0.5,0.0467
Ba,II,6496.897,4750,0.0,0.5,0.05
Ba,II,4554.029,4750,0.5,0.5,0.0167
Ba,II,5853.668,4750,0.5,0.5,0.05
Ba,II,6141.713,4750,0.5,0.5,0.0367
Ba,II,6496.897,4750,0.5,0.5,0.0367
Ba,II,4554.029,4750,1.0,0.5,0.01
Ba,II,5853.668,4750,1.0,0.5,0.0367
Ba,II,6141.713,4750,1.0,0.5,0.0267
Ba,II,6496.897,4750,1.0,0.5,0.0267
Ba,II,4554.029,4750,1.5,0.5,0.0067
Ba,II,5853.668,4750,1.5,0.5,0.02
Ba,II,6141.713,4750,1.5,0.5,0.0167
Ba,II,6496.897,4750,1.5,0.5,0.0167
Ba,II,4554.029,4750,2.0,0.5,0.0067
Ba,II,5853.668,4750,2.0,0.5,0.0067
Ba,II,6141.713,4750,2.0,0.5,0.0067
Ba,II,6496.897,4750,2.0,0.5,0.0033
Ba,II,4554.029,4750,2.5,0.5,-0.0033
Ba,II,5853.668,4750,2.5,0.5,-0.0133
Ba,II,6141.713,4750,2.5,0.5,-0.0033
Ba,II,6496.897,4750,2.5,0.5,-0.0133
Ba,II,4554.029,4750,3.0,0.5,-0.0033
Ba,II,5853.668,4750,3.0,0.5,-0.0233
Ba,II,6141.713,4750,3.0,0.5,-0.0133
Ba,II,6496.897,4750,3.0,0.5,-0.0267
Ba,II,4554.029,4750,3.5,0.5,0.0
Ba,II,5853.668,4750,3.5,0.5,-0.0267
Ba,II,6141.713,4750,3.5,0.5,-0.0133
Ba,II,6496.897,4750,3.5,0.5,-0.0233
Ba,II,4554.029,4750,4.0,0.5,-0.0033
Ba,II,5853.668,4750,4.0,0.5,-0.02
Ba,II,6141.713,4750,4.0,0.5,-0.0133
Ba,II,6496.897,4750,4.0,0.5,-0.0267
Ba,II,4554.029,4750,4.5,0.5,-0.0033
Ba,II,5853.668,4750,4.5,0.5,-0.0167
Ba,II,6141.713,4750,4.5,0.5,-0.0133
Ba,II,6496.897,4750,4.5,0.5,-0.0233
Ba,II,4554.029,4750,5.0,0.5,-0.0033
Ba,II,5853.668,4750,5.0,0.5,-0.0067
Ba,II,6141.713,4750,5.0,0.5,-0.01
Ba,II,6496.897,4750,5.0,0.5,-0.0133
Ba,II,4554.029,5000,0.0,0.5,0.03
Ba,II,5853.668,5000,0.0,0.5,0.05
Ba,II,6141.713,5000,0.0,0.5,0.0467
Ba,II,6496.897,5000,0.0,0.5,0.05
Ba,II,4554.029,5000,0.5,0.5,0.0167
Ba,II,5853.668,5000,0.5,0.5,0.04
Ba,II,6141.713,5000,0.5,0.5,0.0267
Ba,II,6496.897,5000,0.5,0.5,0.0333
Ba,II,4554.029,5000,1.0,0.5,0.01
Ba,II,5853.668,5000,1.0,0.5,0.0267
Ba,II,6141.713,5000,1.0,0.5,0.0167
Ba,II,6496.897,5000,1.0,0.5,0.0167
Ba,II,4554.029,5000,1.5,0.5,0.0067
Ba,II,5853.668,5000,1.5,0.5,0.0067
Ba,II,6141.713,5000,1.5,0.5,0.0067
Ba,II,6496.897,5000,1.5,0.5,0.0033
Ba,II,4554.029,5000,2.0,0.5,0.0
Ba,II,5853.668,5000,2.0,0.5,-0.0033
Ba,II,6141.713,5000,2.0,0.5,-0.0033
Ba,II,6496.897,5000,2.0,0.5,-0.01
Ba,II,4554.029,5000,2.5,0.5,-0.0033
Ba,II,5853.668,5000,2.5,0.5,-0.0267
Ba,II,6141.713,5000,2.5,0.5,-0.0067
Ba,II,6496.897,5000,2.5,0.5,-0.02
Ba,II,4554.029,5000,3.0,0.5,-0.0033
Ba,II,5853.668,5000,3.0,0.5,-0.02
Ba,II,6141.713,5000,3.0,0.5,-0.0167
Ba,II,6496.897,5000,3.0,0.5,-0.0267
Ba,II,4554.029,5000,3.5,0.5,-0.0033
Ba,II,5853.668,5000,3.5,0.5,-0.02
Ba,II,6141.713,5000,3.5,0.5,-0.02
Ba,II,6496.897,5000,3.5,0.5,-0.0333
Ba,II,4554.029,5000,4.0,0.5,-0.0033
Ba,II,5853.668,5000,4.0,0.5,-0.0167
Ba,II,6141.713,5000,4.0,0.5,-0.02
Ba,II,6496.897,5000,4.0,0.5,-0.0267
Ba,II,4554.029,5000,4.5,0.5,-0.0033
Ba,II,5853.668,5000,4.5,0.5,-0.01
Ba,II,6141.713,5000,4.5,0.5,-0.01
Ba,II,6496.897,5000,4.5,0.5,-0.02
Ba,II,4554.029,5000,5.0,0.5,-0.0033
Ba,II,5853.668,5000,5.0,0.5,-0.0067
Ba,II,6141.713,5000,5.0,0.5,-0.01
Ba,II,6496.897,5000,5.0,0.5,-0.0133
Ba,II,4554.029,5250,0.0,0.5,0.04
Ba,II,5853.668,5250,0.0,0.5,0.0533
Ba,II,6141.713,5250,0.0,0.5,0.0567
Ba,II,6496.897,5250,0.0,0.5,0.0567
Ba,II,4554.029,5250,0.5,0.5,0.02
Ba,II,5853.668,5250,0.5,0.5,0.03
Ba,II,6141.713,5250,0.5,0.5,0.0267
Ba,II,6496.897,5250,0.5,0.5,0.0267
Ba,II,4554.029,5250,1.0,0.5,0.01
Ba,II,5853.668,5250,1.0,0.5,0.0133
Ba,II,6141.713,5250,1.0,0.5,0.01
Ba,II,6496.897,5250,1.0,0.5,0.0067
Ba,II,4554.029,5250,1.5,0.5,0.0067
Ba,II,5853.668,5250,1.5,0.5,-0.0067
Ba,II,6141.713,5250,1.5,0.5,-0.0033
Ba,II,6496.897,5250,1.5,0.5,-0.0167
Ba,II,4554.029,5250,2.0,0.5,0.0
Ba,II,5853.668,5250,2.0,0.5,-0.0267
Ba,II,6141.713,5250,2.0,0.5,-0.0133
Ba,II,6496.897,5250,2.0,0.5,-0.0267
Ba,II,4554.029,5250,2.5,0.5,-0.0033
Ba,II,5853.668,5250,2.5,0.5,-0.0367
Ba,II,6141.713,5250,2.5,0.5,-0.0167
Ba,II,6496.897,5250,2.5,0.5,-0.0367
Ba,II,4554.029,5250,3.0,0.5,-0.0033
Ba,II,5853.668,5250,3.0,0.5,-0.0233
Ba,II,6141.713,5250,3.0,0.5,-0.0267
Ba,II,6496.897,5250,3.0,0.5,-0.04
Ba,II,4554.029,5250,3.5,0.5,-0.0033
Ba,II,5853.668,5250,3.5,0.5,-0.03
Ba,II,6141.713,5250,3.5,0.5,-0.0233
Ba,II,6496.897,5250,3.5,0.5,-0.0333
Ba,II,4554.029,5250,4.0,0.5,-0.0033
Ba,II,5853.668,5250,4.0,0.5,-0.0233
Ba,II,6141.713,5250,4.0,0.5,-0.02
Ba,II,6496.897,5250,4.0,0.5,-0.0233
Ba,II,4554.029,5250,4.5,0.5,-0.0033
Ba,II,5853.668,5250,4.5,0.5,-0.01
Ba,II,6141.713,5250,4.5,0.5,-0.0133
Ba,II,6496.897,5250,4.5,0.5,-0.0233
Ba,II,4554.029,5250,5.0,0.5,-0.0033
Ba,II,5853.668,5250,5.0,0.5,-0.0133
Ba,II,6141.713,5250,5.0,0.5,-0.0133
Ba,II,6496.897,5250,5.0,0.5,-0.0133
Ba,II,4554.029,5500,0.0,0.5,0.05
Ba,II,5853.668,5500,0.0,0.5,0.08
Ba,II,6141.713,5500,0.0,0.5,0.07
Ba,II,6496.897,5500,0.0,0.5,0.0767
Ba,II,4554.029,5500,0.5,0.5,0.03
Ba,II,5853.668,5500,0.5,0.5,0.04
Ba,II,6141.713,5500,0.5,0.5,0.0367
Ba,II,6496.897,5500,0.5,0.5,0.0333
Ba,II,4554.029,5500,1.0,0.5,0.02
Ba,II,5853.668,5500,1.0,0.5,0.0067
Ba,II,6141.713,5500,1.0,0.5,0.0133
Ba,II,6496.897,5500,1.0,0.5,0.0033
Ba,II,4554.029,5500,1.5,0.5,0.0067
Ba,II,5853.668,5500,1.5,0.5,-0.02
Ba,II,6141.713,5500,1.5,0.5,-0.0067
Ba,II,6496.897,5500,1.5,0.5,-0.02
Ba,II,4554.029,5500,2.0,0.5,0.0
Ba,II,5853.668,5500,2.0,0.5,-0.0533
Ba,II,6141.713,5500,2.0,0.5,-0.0167
Ba,II,6496.897,5500,2.0,0.5,-0.04
Ba,II,4554.029,5500,2.5,0.5,-0.0033
Ba,II,5853.668,5500,2.5,0.5,-0.0467
Ba,II,6141.713,5500,2.5,0.5,-0.0267
Ba,II,6496.897,5500,2.5,0.5,-0.0533
Ba,II,4554.029,5500,3.0,0.5,-0.0033
Ba,II,5853.668,5500,3.0,0.5,-0.05
Ba,II,6141.713,5500,3.0,0.5,-0.03
Ba,II,6496.897,5500,3.0,0.5,-0.0567
Ba,II,4554.029,5500,3.5,0.5,-0.0033
Ba,II,5853.668,5500,3.5,0.5,-0.0467
Ba,II,6141.713,5500,3.5,0.5,-0.0333
Ba,II,6496.897,5500,3.5,0.5,-0.0533
Ba,II,4554.029,5500,4.0,0.5,-0.0033
Ba,II,5853.668,5500,4.0,0.5,-0.03
Ba,II,6141.713,5500,4.0,0.5,-0.0267
Ba,II,6496.897,5500,4.0,0.5,-0.0433
Ba,II,4554.029,5500,4.5,0.5,-0.0033
Ba,II,5853.668,5500,4.5,0.5,-0.03
Ba,II,6141.713,5500,4.5,0.5,-0.0233
Ba,II,6496.897,5500,4.5,0.5,-0.0333
Ba,II,4554.029,5500,5.0,0.5,-0.0033
Ba,II,5853.668,5500,5.0,0.5,-0.01
Ba,II,6141.713,5500,5.0,0.5,-0.0133
Ba,II,6496.897,5500,5.0,0.5,-0.02
Ba,II,4554.029,5750,0.0,0.5,0.09
Ba,II,5853.668,5750,0.0,0.5,0.11
Ba,II,6141.713,5750,0.0,0.5,0.1067
Ba,II,6496.897,5750,0.0,0.5,0.1067
Ba,II,4554.029,5750,0.5,0.5,0.0567
Ba,II,5853.668,5750,0.5,0.5,0.0533
Ba,II,6141.713,5750,0.5,0.5,0.0567
Ba,II,6496.897,5750,0.5,0.5,0.0533
Ba,II,4554.029,5750,1.0,0.5,0.03
Ba,II,5853.668,5750,1.0,0.5,0.01
Ba,II,6141.713,5750,1.0,0.5,0.0233
Ba,II,6496.897,5750,1.0,0.5,0.0033
Ba,II,4554.029,5750,1.5,0.5,0.0167
Ba,II,5853.668,5750,1.5,0.5,-0.0367
Ba,II,6141.713,5750,1.5,0.5,-0.0067
Ba,II,6496.897,5750,1.5,0.5,-0.03
Ba,II,4554.029,5750,2.0,0.5,0.0067
Ba,II,5853.668,5750,2.0,0.5,-0.0633
Ba,II,6141.713,5750,2.0,0.5,-0.0267
Ba,II,6496.897,5750,2.0,0.5,-0.0533
Ba,II,4554.029,5750,2.5,0.5,-0.0033
Ba,II,5853.668,5750,2.5,0.5,-0.0767
Ba,II,6141.713,5750,2.5,0.5,-0.04
Ba,II,6496.897,5750,2.5,0.5,-0.0733
Ba,II,4554.029,5750,3.0,0.5,-0.0067
Ba,II,5853.668,5750,3.0,0.5,-0.0733
Ba,II,6141.713,5750,3.0,0.5,-0.05
Ba,II,6496.897,5750,3.0,0.5,-0.0767
Ba,II,4554.029,5750,3.5,0.5,-0.0067
Ba,II,5853.668,5750,3.5,0.5,-0.06
Ba,II,6141.713,5750,3.5,0.5,-0.0467
Ba,II,6496.897,5750,3.5,0.5,-0.07
Ba,II,4554.029,5750,4.0,0.5,-0.0033
Ba,II,5853.668,5750,4.0,0.5,-0.0467
Ba,II,6141.713,5750,4.0,0.5,-0.0367
Ba,II,6496.897,5750,4.0,0.5,-0.0567
Ba,II,4554.029,5750,4.5,0.5,-0.0033
Ba,II,5853.668,5750,4.5,0.5,-0.03
Ba,II,6141.713,5750,4.5,0.5,-0.0333
Ba,II,6496.897,5750,4.5,0.5,-0.0433
Ba,II,4554.029,5750,5.0,0.5,-0.0033
Ba,II,5853.668,5750,5.0,0.5,-0.0133
Ba,II,6141.713,5750,5.0,0.5,-0.0233
Ba,II,6496.897,5750,5.0,0.5,-0.03
Ba,II,4554.029,6000,0.0,0.5,0.13
Ba,II,5853.668,6000,0.0,0.5,0.1267
Ba,II,6141.713,6000,0.0,0.5,0.1333
Ba,II,6496.897,6000,0.0,0.5,0.1133
Ba,II,4554.029,6000,0.5,0.5,0.0867
Ba,II,5853.668,6000,0.5,0.5,0.0733
Ba,II,6141.713,6000,0.5,0.5,0.0767
Ba,II,6496.897,6000,0.5,0.5,0.0633
Ba,II,4554.029,6000,1.0,0.5,0.0567
Ba,II,5853.668,6000,1.0,0.5,0.02
Ba,II,6141.713,6000,1.0,0.5,0.0333
Ba,II,6496.897,6000,1.0,0.5,0.01
Ba,II,4554.029,6000,1.5,0.5,0.0367
Ba,II,5853.668,6000,1.5,0.5,-0.0267
Ba,II,6141.713,6000,1.5,0.5,-0.0
Ba,II,6496.897,6000,1.5,0.5,-0.0333
Ba,II,4554.029,6000,2.0,0.5,0.0167
Ba,II,5853.668,6000,2.0,0.5,-0.0667
Ba,II,6141.713,6000,2.0,0.5,-0.03
Ba,II,6496.897,6000,2.0,0.5,-0.0667
Ba,II,4554.029,6000,2.5,0.5,0.0033
Ba,II,5853.668,6000,2.5,0.5,-0.0833
Ba,II,6141.713,6000,2.5,0.5,-0.05
Ba,II,6496.897,6000,2.5,0.5,-0.0867
Ba,II,4554.029,6000,3.0,0.5,-0.0033
Ba,II,5853.668,6000,3.0,0.5,-0.08
Ba,II,6141.713,6000,3.0,0.5,-0.06
Ba,II,6496.897,6000,3.0,0.5,-0.0967
Ba,II,4554.029,6000,3.5,0.5,-0.0067
Ba,II,5853.668,6000,3.5,0.5,-0.0733
Ba,II,6141.713,6000,3.5,0.5,-0.0567
Ba,II,6496.897,6000,3.5,0.5,-0.0867
Ba,II,4554.029,6000,4.0,0.5,-0.0067
Ba,II,5853.668,6000,4.0,0.5,-0.0567
Ba,II,6141.713,6000,4.0,0.5,-0.0533
Ba,II,6496.897,6000,4.0,0.5,-0.0767
Ba,II,4554.029,6000,4.5,0.5,-0.0133
Ba,II,5853.668,6000,4.5,0.5,-0.0367
Ba,II,6141.713,6000,4.5,0.5,-0.0367
Ba,II,6496.897,6000,4.5,0.5,-0.0533
Ba,II,4554.029,6000,5.0,0.5,-0.01
Ba,II,5853.668,6000,5.0,0.5,-0.0167
Ba,II,6141.713,6000,5.0,0.5,-0.0333
Ba,II,6496.897,6000,5.0,0.5,-0.0367
Ba,II,4554.029,6250,0.5,0.5,0.1167
Ba,II,5853.668,6250,0.5,0.5,0.0467
Ba,II,6141.713,6250,0.5,0.5,0.0767
Ba,II,6496.897,6250,0.5,0.5,0.03
Ba,II,4554.029,6250,1.0,0.5,0.0867
Ba,II,5853.668,6250,1.0,0.5,0.0133
Ba,II,6141.713,6250,1.0,0.5,0.04
Ba,II,6496.897,6250,1.0,0.5,-0.0033
Ba,II,4554.029,6250,1.5,0.5,0.0567
Ba,II,5853.668,6250,1.5,0.5,-0.0233
Ba,II,6141.713,6250,1.5,0.5,0.0067
Ba,II,6496.897,6250,1.5,0.5,-0.0433
Ba,II,4554.029,6250,2.0,0.5,0.0333
Ba,II,5853.668,6250,2.0,0.5,-0.0633
Ba,II,6141.713,6250,2.0,0.5,-0.03
Ba,II,6496.897,6250,2.0,0.5,-0.0767
Ba,II,4554.029,6250,2.5,0.5,0.0133
Ba,II,5853.668,6250,2.5,0.5,-0.0733
Ba,II,6141.713,6250,2.5,0.5,-0.05
Ba,II,6496.897,6250,2.5,0.5,-0.1033
Ba,II,4554.029,6250,3.0,0.5,0.0033
Ba,II,5853.668,6250,3.0,0.5,-0.0867
Ba,II,6141.713,6250,3.0,0.5,-0.0667
Ba,II,6496.897,6250,3.0,0.5,-0.1133
Ba,II,4554.029,6250,3.5,0.5,-0.0067
Ba,II,5853.668,6250,3.5,0.5,-0.0767
Ba,II,6141.713,6250,3.5,0.5,-0.0667
Ba,II,6496.897,6250,3.5,0.5,-0.0967
Ba,II,4554.029,6250,4.0,0.5,-0.0133
Ba,II,5853.668,6250,4.0,0.5,-0.0533
Ba,II,6141.713,6250,4.0,0.5,-0.0633
Ba,II,6496.897,6250,4.0,0.5,-0.0867
Ba,II,4554.029,6250,4.5,0.5,-0.0133
Ba,II,5853.668,6250,4.5,0.5,-0.0367
Ba,II,6141.713,6250,4.5,0.5,-0.0467
Ba,II,6496.897,6250,4.5,0.5,-0.0633
Ba,II,4554.029,6250,5.0,0.5,-0.0133
Ba,II,5853.668,6250,5.0,0.5,-0.0267
Ba,II,6141.713,6250,5.0,0.5,-0.0333
Ba,II,6496.897,6250,5.0,0.5,-0.0433
Ba,II,4554.029,6500,0.5,0.5,0.1233
Ba,II,5853.668,6500,0.5,0.5,-0.0067
Ba,II,6141.713,6500,0.5,0.5,0.0233
Ba,II,6496.897,6500,0.5,0.5,-0.0667
Ba,II,4554.029,6500,1.0,0.5,0.0967
Ba,II,5853.668,6500,1.0,0.5,-0.02
Ba,II,6141.713,6500,1.0,0.5,0.0133
Ba,II,6496.897,6500,1.0,0.5,-0.0633
Ba,II,4554.029,6500,1.5,0.5,0.0767
Ba,II,5853.668,6500,1.5,0.5,-0.0367
Ba,II,6141.713,6500,1.5,0.5,-0.01
Ba,II,6496.897,6500,1.5,0.5,-0.0867
Ba,II,4554.029,6500,2.0,0.5,0.0533
Ba,II,5853.668,6500,2.0,0.5,-0.0533
Ba,II,6141.713,6500,2.0,0.5,-0.0333
Ba,II,6496.897,6500,2.0,0.5,-0.0967
Ba,II,4554.029,6500,2.5,0.5,0.03
Ba,II,5853.668,6500,2.5,0.5,-0.0667
Ba,II,6141.713,6500,2.5,0.5,-0.0533
Ba,II,6496.897,6500,2.5,0.5,-0.1133
Ba,II,4554.029,6500,3.0,0.5,0.0067
Ba,II,5853.668,6500,3.0,0.5,-0.0733
Ba,II,6141.713,6500,3.0,0.5,-0.07
Ba,II,6496.897,6500,3.0,0.5,-0.1167
Ba,II,4554.029,6500,3.5,0.5,-0.0033
Ba,II,5853.668,6500,3.5,0.5,-0.0667
Ba,II,6141.713,6500,3.5,0.5,-0.0767
Ba,II,6496.897,6500,3.5,0.5,-0.1067
Ba,II,4554.029,6500,4.0,0.5,-0.0133
Ba,II,5853.668,6500,4.0,0.5,-0.05
Ba,II,6141.713,6500,4.0,0.5,-0.0667
Ba,II,6496.897,6500,4.0,0.5,-0.0967
Ba,II,4554.029,6500,4.5,0.5,-0.0133
Ba,II,5853.668,6500,4.5,0.5,-0.0367
Ba,II,6141.713,6500,4.5,0.5,-0.0533
Ba,II,6496.897,6500,4.5,0.5,-0.0733
Ba,II,4554.029,6500,5.0,0.5,-0.0133
Ba,II,5853.668,6500,5.0,0.5,-0.0233
Ba,II,6141.713,6500,5.0,0.5,-0.0333
Ba,II,6496.897,6500,5.0,0.5,-0.0467
